; ======================================================== LFRN AVISO ========================================================

[GEO]

LFRN AVISO N048.04.22.557 W001.43.17.632 N048.04.20.289 W001.43.22.514 COLOR_Taxiway
N048.04.13.024 W001.44.25.457
N048.04.12.893 W001.44.25.401
N048.04.11.965 W001.44.25.190
N048.04.11.362 W001.44.24.492

REGIONNAME LFRN AVISO
COLOR_RunwayGrass N048.03.51.534 W001.44.03.280
N048.03.51.419 W001.44.03.398
N048.03.51.164 W001.44.03.848
N048.03.50.778 W001.44.04.481
N048.03.50.639 W001.44.04.618
N048.03.50.421 W001.44.04.699
N048.03.49.983 W001.44.04.816
N048.03.49.427 W001.44.04.732
N048.03.46.779 W001.44.03.601
N048.03.46.317 W001.44.03.390
N048.03.46.180 W001.44.03.425
N048.03.46.042 W001.44.03.507
N048.03.46.080 W001.44.03.181
N048.03.46.108 W001.44.02.551
N048.03.46.401 W001.44.02.570
N048.03.46.954 W001.44.02.809
N048.03.49.101 W001.44.03.742
N048.03.49.641 W001.44.03.980
N048.03.50.011 W001.44.04.073
N048.03.50.342 W001.44.03.942
N048.03.50.761 W001.44.03.245
N048.03.50.970 W001.44.02.811
N048.03.50.995 W001.44.02.661
N048.03.50.997 W001.44.02.489
N048.03.51.645 W001.44.03.218

REGIONNAME LFRN AVISO
COLOR_RunwayGrass N048.03.55.860 W001.44.01.431
N048.04.09.874 W001.44.17.717
N048.04.08.884 W001.44.19.620
N048.03.54.869 W001.44.03.291

REGIONNAME LFRN AVISO
COLOR_RunwayConcrete N048.04.13.364 W001.43.05.908
N048.04.13.689 W001.43.05.840
N048.04.14.011 W001.43.05.843
N048.04.14.334 W001.43.05.942
N048.04.14.652 W001.43.06.120
N048.04.14.943 W001.43.06.377
N048.04.15.167 W001.43.06.671
N048.04.15.382 W001.43.07.052
N048.04.15.515 W001.43.07.409
N048.04.15.596 W001.43.07.831
N048.04.15.590 W001.43.08.170
N048.04.14.403 W001.43.13.935
N048.04.15.464 W001.43.22.328
N048.04.15.569 W001.43.22.764
N048.04.15.677 W001.43.23.046
N048.04.15.797 W001.43.23.325
N048.04.15.956 W001.43.23.608
N048.04.16.152 W001.43.23.838
N048.04.16.336 W001.43.23.995
N048.04.16.539 W001.43.24.090
N048.04.16.757 W001.43.24.155
N048.04.17.248 W001.43.24.156
N048.04.17.956 W001.43.24.028
N048.04.18.101 W001.43.25.168
N048.04.17.431 W001.43.25.379
N048.04.17.127 W001.43.25.547
N048.04.16.844 W001.43.25.745
N048.04.16.611 W001.43.26.046
N048.04.16.467 W001.43.26.349
N048.04.16.362 W001.43.26.664
N048.04.16.264 W001.43.27.035
N048.04.16.169 W001.43.27.594
N048.04.16.171 W001.43.27.831
N048.04.16.206 W001.43.28.289
N048.04.25.989 W001.44.45.724
N048.04.24.555 W001.44.46.138
N048.04.24.168 W001.44.46.243
N048.04.23.975 W001.44.46.280
N048.04.23.798 W001.44.46.280
N048.04.23.552 W001.44.46.228
N048.04.23.278 W001.44.46.112
N048.04.23.037 W001.44.45.954
N048.04.22.781 W001.44.45.699
N048.04.22.546 W001.44.45.382
N048.04.22.359 W001.44.44.995
N048.04.22.252 W001.44.44.577
N048.04.22.221 W001.44.44.218
N048.04.22.252 W001.44.43.866
N048.04.23.578 W001.44.38.206
N048.04.20.370 W001.44.12.784
